year,month,last,party
1948,Jan,Truman,Democrat
1948,Feb,Truman,Democrat
1948,Mar,Truman,Democrat
1948,Apr,Truman,Democrat
1948,May,Truman,Democrat
1948,Jun,Truman,Democrat
1948,Jul,Truman,Democrat
1948,Aug,Truman,Democrat
1948,Sep,Truman,Democrat
1948,Oct,Truman,Democrat
1948,Nov,Truman,Democrat
1948,Dec,Truman,Democrat
1949,Jan,Truman,Democrat
1949,Feb,Truman,Democrat
1949,Mar,Truman,Democrat
1949,Apr,Truman,Democrat
1949,May,Truman,Democrat
1949,Jun,Truman,Democrat
1949,Jul,Truman,Democrat
1949,Aug,Truman,Democrat
1949,Sep,Truman,Democrat
1949,Oct,Truman,Democrat
1949,Nov,Truman,Democrat
1949,Dec,Truman,Democrat
1950,Jan,Truman,Democrat
1950,Feb,Truman,Democrat
1950,Mar,Truman,Democrat
1950,Apr,Truman,Democrat
1950,May,Truman,Democrat
1950,Jun,Truman,Democrat
1950,Jul,Truman,Democrat
1950,Aug,Truman,Democrat
1950,Sep,Truman,Democrat
1950,Oct,Truman,Democrat
1950,Nov,Truman,Democrat
1950,Dec,Truman,Democrat
1951,Jan,Truman,Democrat
1951,Feb,Truman,Democrat
1951,Mar,Truman,Democrat
1951,Apr,Truman,Democrat
1951,May,Truman,Democrat
1951,Jun,Truman,Democrat
1951,Jul,Truman,Democrat
1951,Aug,Truman,Democrat
1951,Sep,Truman,Democrat
1951,Oct,Truman,Democrat
1951,Nov,Truman,Democrat
1951,Dec,Truman,Democrat
1952,Jan,Truman,Democrat
1952,Feb,Truman,Democrat
1952,Mar,Truman,Democrat
1952,Apr,Truman,Democrat
1952,May,Truman,Democrat
1952,Jun,Truman,Democrat
1952,Jul,Truman,Democrat
1952,Aug,Truman,Democrat
1952,Sep,Truman,Democrat
1952,Oct,Truman,Democrat
1952,Nov,Truman,Democrat
1952,Dec,Truman,Democrat
1953,Jan,Eisenhower,Republican
1953,Feb,Eisenhower,Republican
1953,Mar,Eisenhower,Republican
1953,Apr,Eisenhower,Republican
1953,May,Eisenhower,Republican
1953,Jun,Eisenhower,Republican
1953,Jul,Eisenhower,Republican
1953,Aug,Eisenhower,Republican
1953,Sep,Eisenhower,Republican
1953,Oct,Eisenhower,Republican
1953,Nov,Eisenhower,Republican
1953,Dec,Eisenhower,Republican
1954,Jan,Eisenhower,Republican
1954,Feb,Eisenhower,Republican
1954,Mar,Eisenhower,Republican
1954,Apr,Eisenhower,Republican
1954,May,Eisenhower,Republican
1954,Jun,Eisenhower,Republican
1954,Jul,Eisenhower,Republican
1954,Aug,Eisenhower,Republican
1954,Sep,Eisenhower,Republican
1954,Oct,Eisenhower,Republican
1954,Nov,Eisenhower,Republican
1954,Dec,Eisenhower,Republican
1955,Jan,Eisenhower,Republican
1955,Feb,Eisenhower,Republican
1955,Mar,Eisenhower,Republican
1955,Apr,Eisenhower,Republican
1955,May,Eisenhower,Republican
1955,Jun,Eisenhower,Republican
1955,Jul,Eisenhower,Republican
1955,Aug,Eisenhower,Republican
1955,Sep,Eisenhower,Republican
1955,Oct,Eisenhower,Republican
1955,Nov,Eisenhower,Republican
1955,Dec,Eisenhower,Republican
1956,Jan,Eisenhower,Republican
1956,Feb,Eisenhower,Republican
1956,Mar,Eisenhower,Republican
1956,Apr,Eisenhower,Republican
1956,May,Eisenhower,Republican
1956,Jun,Eisenhower,Republican
1956,Jul,Eisenhower,Republican
1956,Aug,Eisenhower,Republican
1956,Sep,Eisenhower,Republican
1956,Oct,Eisenhower,Republican
1956,Nov,Eisenhower,Republican
1956,Dec,Eisenhower,Republican
1957,Jan,Eisenhower,Republican
1957,Feb,Eisenhower,Republican
1957,Mar,Eisenhower,Republican
1957,Apr,Eisenhower,Republican
1957,May,Eisenhower,Republican
1957,Jun,Eisenhower,Republican
1957,Jul,Eisenhower,Republican
1957,Aug,Eisenhower,Republican
1957,Sep,Eisenhower,Republican
1957,Oct,Eisenhower,Republican
1957,Nov,Eisenhower,Republican
1957,Dec,Eisenhower,Republican
1958,Jan,Eisenhower,Republican
1958,Feb,Eisenhower,Republican
1958,Mar,Eisenhower,Republican
1958,Apr,Eisenhower,Republican
1958,May,Eisenhower,Republican
1958,Jun,Eisenhower,Republican
1958,Jul,Eisenhower,Republican
1958,Aug,Eisenhower,Republican
1958,Sep,Eisenhower,Republican
1958,Oct,Eisenhower,Republican
1958,Nov,Eisenhower,Republican
1958,Dec,Eisenhower,Republican
1959,Jan,Eisenhower,Republican
1959,Feb,Eisenhower,Republican
1959,Mar,Eisenhower,Republican
1959,Apr,Eisenhower,Republican
1959,May,Eisenhower,Republican
1959,Jun,Eisenhower,Republican
1959,Jul,Eisenhower,Republican
1959,Aug,Eisenhower,Republican
1959,Sep,Eisenhower,Republican
1959,Oct,Eisenhower,Republican
1959,Nov,Eisenhower,Republican
1959,Dec,Eisenhower,Republican
1960,Jan,Eisenhower,Republican
1960,Feb,Eisenhower,Republican
1960,Mar,Eisenhower,Republican
1960,Apr,Eisenhower,Republican
1960,May,Eisenhower,Republican
1960,Jun,Eisenhower,Republican
1960,Jul,Eisenhower,Republican
1960,Aug,Eisenhower,Republican
1960,Sep,Eisenhower,Republican
1960,Oct,Eisenhower,Republican
1960,Nov,Eisenhower,Republican
1960,Dec,Eisenhower,Republican
1961,Jan,Kennedy,Democrat
1961,Feb,Kennedy,Democrat
1961,Mar,Kennedy,Democrat
1961,Apr,Kennedy,Democrat
1961,May,Kennedy,Democrat
1961,Jun,Kennedy,Democrat
1961,Jul,Kennedy,Democrat
1961,Aug,Kennedy,Democrat
1961,Sep,Kennedy,Democrat
1961,Oct,Kennedy,Democrat
1961,Nov,Kennedy,Democrat
1961,Dec,Kennedy,Democrat
1962,Jan,Kennedy,Democrat
1962,Feb,Kennedy,Democrat
1962,Mar,Kennedy,Democrat
1962,Apr,Kennedy,Democrat
1962,May,Kennedy,Democrat
1962,Jun,Kennedy,Democrat
1962,Jul,Kennedy,Democrat
1962,Aug,Kennedy,Democrat
1962,Sep,Kennedy,Democrat
1962,Oct,Kennedy,Democrat
1962,Nov,Kennedy,Democrat
1962,Dec,Kennedy,Democrat
1963,Jan,L. Johnson,Democrat
1963,Feb,L. Johnson,Democrat
1963,Mar,L. Johnson,Democrat
1963,Apr,L. Johnson,Democrat
1963,May,L. Johnson,Democrat
1963,Jun,L. Johnson,Democrat
1963,Jul,L. Johnson,Democrat
1963,Aug,L. Johnson,Democrat
1963,Sep,L. Johnson,Democrat
1963,Oct,L. Johnson,Democrat
1963,Nov,L. Johnson,Democrat
1963,Dec,L. Johnson,Democrat
1964,Jan,L. Johnson,Democrat
1964,Feb,L. Johnson,Democrat
1964,Mar,L. Johnson,Democrat
1964,Apr,L. Johnson,Democrat
1964,May,L. Johnson,Democrat
1964,Jun,L. Johnson,Democrat
1964,Jul,L. Johnson,Democrat
1964,Aug,L. Johnson,Democrat
1964,Sep,L. Johnson,Democrat
1964,Oct,L. Johnson,Democrat
1964,Nov,L. Johnson,Democrat
1964,Dec,L. Johnson,Democrat
1965,Jan,L. Johnson,Democrat
1965,Feb,L. Johnson,Democrat
1965,Mar,L. Johnson,Democrat
1965,Apr,L. Johnson,Democrat
1965,May,L. Johnson,Democrat
1965,Jun,L. Johnson,Democrat
1965,Jul,L. Johnson,Democrat
1965,Aug,L. Johnson,Democrat
1965,Sep,L. Johnson,Democrat
1965,Oct,L. Johnson,Democrat
1965,Nov,L. Johnson,Democrat
1965,Dec,L. Johnson,Democrat
1966,Jan,L. Johnson,Democrat
1966,Feb,L. Johnson,Democrat
1966,Mar,L. Johnson,Democrat
1966,Apr,L. Johnson,Democrat
1966,May,L. Johnson,Democrat
1966,Jun,L. Johnson,Democrat
1966,Jul,L. Johnson,Democrat
1966,Aug,L. Johnson,Democrat
1966,Sep,L. Johnson,Democrat
1966,Oct,L. Johnson,Democrat
1966,Nov,L. Johnson,Democrat
1966,Dec,L. Johnson,Democrat
1967,Jan,L. Johnson,Democrat
1967,Feb,L. Johnson,Democrat
1967,Mar,L. Johnson,Democrat
1967,Apr,L. Johnson,Democrat
1967,May,L. Johnson,Democrat
1967,Jun,L. Johnson,Democrat
1967,Jul,L. Johnson,Democrat
1967,Aug,L. Johnson,Democrat
1967,Sep,L. Johnson,Democrat
1967,Oct,L. Johnson,Democrat
1967,Nov,L. Johnson,Democrat
1967,Dec,L. Johnson,Democrat
1968,Jan,L. Johnson,Democrat
1968,Feb,L. Johnson,Democrat
1968,Mar,L. Johnson,Democrat
1968,Apr,L. Johnson,Democrat
1968,May,L. Johnson,Democrat
1968,Jun,L. Johnson,Democrat
1968,Jul,L. Johnson,Democrat
1968,Aug,L. Johnson,Democrat
1968,Sep,L. Johnson,Democrat
1968,Oct,L. Johnson,Democrat
1968,Nov,L. Johnson,Democrat
1968,Dec,L. Johnson,Democrat
1969,Jan,Nixon,Republican
1969,Feb,Nixon,Republican
1969,Mar,Nixon,Republican
1969,Apr,Nixon,Republican
1969,May,Nixon,Republican
1969,Jun,Nixon,Republican
1969,Jul,Nixon,Republican
1969,Aug,Nixon,Republican
1969,Sep,Nixon,Republican
1969,Oct,Nixon,Republican
1969,Nov,Nixon,Republican
1969,Dec,Nixon,Republican
1970,Jan,Nixon,Republican
1970,Feb,Nixon,Republican
1970,Mar,Nixon,Republican
1970,Apr,Nixon,Republican
1970,May,Nixon,Republican
1970,Jun,Nixon,Republican
1970,Jul,Nixon,Republican
1970,Aug,Nixon,Republican
1970,Sep,Nixon,Republican
1970,Oct,Nixon,Republican
1970,Nov,Nixon,Republican
1970,Dec,Nixon,Republican
1971,Jan,Nixon,Republican
1971,Feb,Nixon,Republican
1971,Mar,Nixon,Republican
1971,Apr,Nixon,Republican
1971,May,Nixon,Republican
1971,Jun,Nixon,Republican
1971,Jul,Nixon,Republican
1971,Aug,Nixon,Republican
1971,Sep,Nixon,Republican
1971,Oct,Nixon,Republican
1971,Nov,Nixon,Republican
1971,Dec,Nixon,Republican
1972,Jan,Nixon,Republican
1972,Feb,Nixon,Republican
1972,Mar,Nixon,Republican
1972,Apr,Nixon,Republican
1972,May,Nixon,Republican
1972,Jun,Nixon,Republican
1972,Jul,Nixon,Republican
1972,Aug,Nixon,Republican
1972,Sep,Nixon,Republican
1972,Oct,Nixon,Republican
1972,Nov,Nixon,Republican
1972,Dec,Nixon,Republican
1973,Jan,Nixon,Republican
1973,Feb,Nixon,Republican
1973,Mar,Nixon,Republican
1973,Apr,Nixon,Republican
1973,May,Nixon,Republican
1973,Jun,Nixon,Republican
1973,Jul,Nixon,Republican
1973,Aug,Nixon,Republican
1973,Sep,Nixon,Republican
1973,Oct,Nixon,Republican
1973,Nov,Nixon,Republican
1973,Dec,Nixon,Republican
1974,Jan,Nixon,Republican
1974,Feb,Nixon,Republican
1974,Mar,Nixon,Republican
1974,Apr,Nixon,Republican
1974,May,Nixon,Republican
1974,Jun,Nixon,Republican
1974,Jul,Nixon,Republican
1974,Aug,Ford,Republican
1974,Sep,Ford,Republican
1974,Oct,Ford,Republican
1974,Nov,Ford,Republican
1974,Dec,Ford,Republican
1975,Jan,Ford,Republican
1975,Feb,Ford,Republican
1975,Mar,Ford,Republican
1975,Apr,Ford,Republican
1975,May,Ford,Republican
1975,Jun,Ford,Republican
1975,Jul,Ford,Republican
1975,Aug,Ford,Republican
1975,Sep,Ford,Republican
1975,Oct,Ford,Republican
1975,Nov,Ford,Republican
1975,Dec,Ford,Republican
1976,Jan,Ford,Republican
1976,Feb,Ford,Republican
1976,Mar,Ford,Republican
1976,Apr,Ford,Republican
1976,May,Ford,Republican
1976,Jun,Ford,Republican
1976,Jul,Ford,Republican
1976,Aug,Ford,Republican
1976,Sep,Ford,Republican
1976,Oct,Ford,Republican
1976,Nov,Ford,Republican
1976,Dec,Ford,Republican
1977,Jan,Carter,Democrat
1977,Feb,Carter,Democrat
1977,Mar,Carter,Democrat
1977,Apr,Carter,Democrat
1977,May,Carter,Democrat
1977,Jun,Carter,Democrat
1977,Jul,Carter,Democrat
1977,Aug,Carter,Democrat
1977,Sep,Carter,Democrat
1977,Oct,Carter,Democrat
1977,Nov,Carter,Democrat
1977,Dec,Carter,Democrat
1978,Jan,Carter,Democrat
1978,Feb,Carter,Democrat
1978,Mar,Carter,Democrat
1978,Apr,Carter,Democrat
1978,May,Carter,Democrat
1978,Jun,Carter,Democrat
1978,Jul,Carter,Democrat
1978,Aug,Carter,Democrat
1978,Sep,Carter,Democrat
1978,Oct,Carter,Democrat
1978,Nov,Carter,Democrat
1978,Dec,Carter,Democrat
1979,Jan,Carter,Democrat
1979,Feb,Carter,Democrat
1979,Mar,Carter,Democrat
1979,Apr,Carter,Democrat
1979,May,Carter,Democrat
1979,Jun,Carter,Democrat
1979,Jul,Carter,Democrat
1979,Aug,Carter,Democrat
1979,Sep,Carter,Democrat
1979,Oct,Carter,Democrat
1979,Nov,Carter,Democrat
1979,Dec,Carter,Democrat
1980,Jan,Carter,Democrat
1980,Feb,Carter,Democrat
1980,Mar,Carter,Democrat
1980,Apr,Carter,Democrat
1980,May,Carter,Democrat
1980,Jun,Carter,Democrat
1980,Jul,Carter,Democrat
1980,Aug,Carter,Democrat
1980,Sep,Carter,Democrat
1980,Oct,Carter,Democrat
1980,Nov,Carter,Democrat
1980,Dec,Carter,Democrat
1981,Jan,Reagan,Republican
1981,Feb,Reagan,Republican
1981,Mar,Reagan,Republican
1981,Apr,Reagan,Republican
1981,May,Reagan,Republican
1981,Jun,Reagan,Republican
1981,Jul,Reagan,Republican
1981,Aug,Reagan,Republican
1981,Sep,Reagan,Republican
1981,Oct,Reagan,Republican
1981,Nov,Reagan,Republican
1981,Dec,Reagan,Republican
1982,Jan,Reagan,Republican
1982,Feb,Reagan,Republican
1982,Mar,Reagan,Republican
1982,Apr,Reagan,Republican
1982,May,Reagan,Republican
1982,Jun,Reagan,Republican
1982,Jul,Reagan,Republican
1982,Aug,Reagan,Republican
1982,Sep,Reagan,Republican
1982,Oct,Reagan,Republican
1982,Nov,Reagan,Republican
1982,Dec,Reagan,Republican
1983,Jan,Reagan,Republican
1983,Feb,Reagan,Republican
1983,Mar,Reagan,Republican
1983,Apr,Reagan,Republican
1983,May,Reagan,Republican
1983,Jun,Reagan,Republican
1983,Jul,Reagan,Republican
